Stock,chg_turnover,ABOD_label,ABOD_score,KNN_label,KNN_score,IForest_label,IForest_score,HBOS_label,HBOS_score,ABOD_score_norm,KNN_score_norm,IForest_score_norm,HBOS_score_norm,ensemble_score,final_flag_vote,final_flag_score,final_flag
STK1,473.10365664777055,0,-1.6064510793842375e-12,0,1906.362670018876,0,-0.2272926473869371,0,3.3191058793575543,0.8264487227083664,0.036793255154824706,0.05118363439980256,0.0,0.22860640306574842,0,0,0
STK10,1042.1918999975605,0,-9.246731858204172e-12,0,2300.9883965914523,0,-0.23976650272826117,0,3.3191058793575543,0.0,0.07698368573187103,0.0,0.0,0.019245921432967758,0,0,0
STK2,-294.90861347519603,0,-7.281748087319147e-13,0,1545.0934614044418,0,-0.21565933713894725,0,3.3191058793575543,0.9214518152750495,0.0,0.09891828277431103,0.0,0.2550925245123401,0,0,0
STK3,2520.2398185588863,0,-1.5676420601513e-14,0,3779.0363151527786,0,-0.10381623167877374,0,3.3200460045732965,0.9985227240346474,0.2275146274837434,0.557841082772442,0.49983703561110815,0.5709288674754852,0,0,0
STK4,11032.797691737182,0,-4.718555904346902e-15,0,10559.694035089411,0,-0.024514714720173636,0,3.3200460045732965,0.999708035614778,0.9180868203478783,0.883236859803145,0.49983703561110815,0.8252171878442274,0,0,0
STK5,1250.1848479292457,0,-6.319394694510722e-12,0,2508.9813445231375,0,-0.22163308290092093,0,3.3200460045732965,0.3166498889121784,0.09816660810990868,0.07440637280648421,0.49983703561110815,0.24726497635991984,0,0,0
STK6,-3483.6811198159776,1,-2.019429123434868e-15,0,4525.873019813538,1,0.003941383348937455,1,3.3209867428165674,1.0,0.30357578292779447,1.0,1.0,0.8258939457319486,1,1,1
STK7,-1433.2590133711055,0,-4.229953552811674e-12,0,2475.450913368666,0,-0.20086861805613893,0,3.3200460045732965,0.5426646143812338,0.09475172059804654,0.15960864171543743,0.49983703561110815,0.32421550307645647,0,0,0
STK8,11837.0948234666,0,-2.9226877793394976e-15,1,11363.991166818827,0,-0.0004379314832152481,0,3.3200460045732965,0.9999022945642893,1.0,0.9820304754899664,0.49983703561110815,0.8704424514163409,0,1,0
STK9,-1258.7964965938918,0,-5.237769221059953e-12,0,2300.9883965914523,0,-0.21384658207502527,0,3.3200460045732965,0.43364925279161515,0.07698368573187103,0.10635651176681793,0.49983703561110815,0.2792066214753531,0,0,0
